chemical1	chemical2	textmining
CIDs91758403	CIDs00000679	155
CIDs91758403	CIDs00068476	258
CIDs91758403	CIDs00069213	194
CIDs91758403	CIDs00000702	271
CIDs91758403	CIDs07067545	151
CIDs91758403	CIDs70789756	154
CIDs91758403	CIDs00000712	205
CIDs91758403	CIDs71339940	155
CIDs91758403	CIDs71711120	176
CIDs91758403	CIDs72725811	656
CIDs91758403	CIDs72771103	210
CIDs91758403	CIDs73389731	151
CIDs91758403	CIDs73441667	210
CIDs91758403	CIDs73441670	295
CIDs91758403	CIDs00075061	325
CIDs91758403	CIDs00000753	177
CIDs91758403	CIDs00077793	344
CIDs91758403	CIDs00000784	153
CIDs91758403	CIDs00008124	151
CIDs91758403	CIDs00008212	151
CIDs91758403	CIDs87070928	152
CIDs91758403	CIDs90933824	150
CIDs91758403	CIDs91757968	155
CIDs91758403	CIDs00094870	151
CIDs91758403	CIDs00000961	311
CIDs91758403	CIDs00098436	192
CIDs91758403	CIDs09891946	164
CIDs91758403	CIDs09955014	150
CIDs91758402	CIDs15940185	152
CIDs91758402	CIDs00175915	204
CIDs91758402	CIDs00018905	729
CIDs91758402	CIDs00002728	329
CIDs91758402	CIDs00441328	300
CIDs91758402	CIDs05289137	218
CIDs91758402	CIDs00007053	509
CIDs91758402	CIDs71300318	505
CIDs91758402	CIDs00073697	298
CIDs91758402	CIDs00789779	191
CIDs91758402	CIDs09844358	410
CIDs91758402	CIDs09892815	388
CIDs91758402	CIDs09996409	298
CIDs91758401	CIDs10026128	176
CIDs91758401	CIDs00010466	456
CIDs91758401	CIDs00104964	328
CIDs91758401	CIDs11335394	501
CIDs91758401	CIDs00011478	207
CIDs91758401	CIDs12563083	321
CIDs91758401	CIDs00012755	261
CIDs91758401	CIDs00146777	155
CIDs91758401	CIDs00015367	196
CIDs91758401	CIDs00166583	739
CIDs91758401	CIDs00167219	466
CIDs91758401	CIDs00167364	388
CIDs91758401	CIDs00172743	388
CIDs91758401	CIDs00177619	291
CIDs91758401	CIDs18185436	171
CIDs91758401	CIDs18218206	152
CIDs91758401	CIDs18220272	183
CIDs91758401	CIDs18231616	150
CIDs91758401	CIDs00193709	452
CIDs91758401	CIDs00196473	154
CIDs91758401	CIDs00197105	296
CIDs91758401	CIDs00208656	292
CIDs91758401	CIDs00021700	150
CIDs91758401	CIDs23653518	154
CIDs91758401	CIDs00023943	259
CIDs91758401	CIDs00023993	506
CIDs91758401	CIDs24229243	259
CIDs91758401	CIDs24836139	238
CIDs91758401	CIDs25138294	216
CIDs91758401	CIDs25181324	194
CIDs91758401	CIDs00253881	716
CIDs91758401	CIDs02773478	360
CIDs91758401	CIDs03038499	273
CIDs91758401	CIDs44224001	195
CIDs91758401	CIDs00448866	259
CIDs91758401	CIDs45834489	211
CIDs91758401	CIDs46890010	274
CIDs91758401	CIDs46985301	594
CIDs91758401	CIDs00004838	156
CIDs91758401	CIDs00049384	151
CIDs91758401	CIDs00004971	153
CIDs91758401	CIDs49835944	150
CIDs91758401	CIDs49867635	157
CIDs91758401	CIDs57345902	176
CIDs91758401	CIDs00005754	320
CIDs91758401	CIDs00000588	174
CIDs91758401	CIDs00005997	184
CIDs91758401	CIDs00006037	230
CIDs91758401	CIDs06102754	162
CIDs91758401	CIDs00637776	153
CIDs91758401	CIDs06449939	177
CIDs91758401	CIDs00006526	312
CIDs91758401	CIDs06603746	272
CIDs91758401	CIDs66545764	462
CIDs91758401	CIDs66553071	281
CIDs91758401	CIDs66553126	155
CIDs91758401	CIDs00676630	152
CIDs91758401	CIDs67871493	505
CIDs91758401	CIDs06918878	650
CIDs91758401	CIDs69388702	464
CIDs91758401	CIDs00700999	152
CIDs91758401	CIDs70699435	574
CIDs91758401	CIDs71677802	388
CIDs91758401	CIDs71738915	528
CIDs91758401	CIDs71777717	742
CIDs91758401	CIDs71819730	297
CIDs91758401	CIDs72206626	170
CIDs91758401	CIDs00072356	454
CIDs91758401	CIDs73254840	499
CIDs91758401	CIDs00073873	214
CIDs91758401	CIDs74983350	190
CIDs91758401	CIDs76210615	193
CIDs91758401	CIDs76210630	213
CIDs91758401	CIDs00000778	173
CIDs91758401	CIDs78224878	151
CIDs91758401	CIDs00818595	208
CIDs91758401	CIDs00082191	156
CIDs91758401	CIDs87057569	476
CIDs91758401	CIDs90657117	437
CIDs91758401	CIDs91668528	505
CIDs91758401	CIDs09543464	172
CIDs91758389	CIDs00119432	167
CIDs91758389	CIDs01268262	461
CIDs91758389	CIDs16046677	161
CIDs91758389	CIDs19881902	150
CIDs91758389	CIDs02734509	208
CIDs91758389	CIDs00004108	172
CIDs91758389	CIDs00448403	155
CIDs91758389	CIDs00049384	258
CIDs91758389	CIDs00005100	153
CIDs91758389	CIDs05289024	164
CIDs91758389	CIDs05330197	160
CIDs91758389	CIDs56684138	239
CIDs91758389	CIDs00586408	152
CIDs91758389	CIDs60202413	467
CIDs91758389	CIDs00637540	196
CIDs91758389	CIDs06420159	155
CIDs91758389	CIDs06436603	150
CIDs91758389	CIDs00644083	575
CIDs91758389	CIDs00064684	230
CIDs91758389	CIDs00066237	196
CIDs91758389	CIDs00007181	208
CIDs91758389	CIDs71819710	596
CIDs91758389	CIDs74331716	209
CIDs91758389	CIDs74627700	218
CIDs91758389	CIDs74627715	186
CIDs91758389	CIDs00082587	171
CIDs91758389	CIDs91668531	247
CIDs91758389	CIDs09855655	342
CIDs91758271	CIDs10219395	162
CIDs91758271	CIDs00108123	230
CIDs91758271	CIDs11234794	542
CIDs91758271	CIDs00114905	151
CIDs91758271	CIDs12148754	151
CIDs91758271	CIDs00127679	151
CIDs91758271	CIDs00131059	177
CIDs91758271	CIDs00131560	269
CIDs91758271	CIDs00134664	274
CIDs91758271	CIDs00015139	198
CIDs91758271	CIDs00174174	543
CIDs91758271	CIDs00017519	173
CIDs91758271	CIDs00175804	270
CIDs91758271	CIDs17750482	198
CIDs91758271	CIDs00189460	209
CIDs91758271	CIDs00198290	644
CIDs91758271	CIDs00001983	213
CIDs91758271	CIDs00002118	151
CIDs91758271	CIDs00002156	231
CIDs91758271	CIDs00002244	151
CIDs91758271	CIDs00002474	351
CIDs91758271	CIDs00027350	385
CIDs91758271	CIDs00000280	155
CIDs91758271	CIDs00002803	273
CIDs91758271	CIDs02921481	154
CIDs91758271	CIDs00029544	274
CIDs91758271	CIDs03000715	386
CIDs91758271	CIDs03001055	154
CIDs91758271	CIDs00003016	292
CIDs91758271	CIDs03038497	177
CIDs91758271	CIDs03080838	201
CIDs91758271	CIDs03084153	151
CIDs91758271	CIDs00003168	216
CIDs91758271	CIDs00003226	310
CIDs91758271	CIDs00003345	766
CIDs91758271	CIDs00003373	412
CIDs91758271	CIDs00033741	150
CIDs91758271	CIDs00003440	157
CIDs91758271	CIDs00003494	355
CIDs91758271	CIDs00003562	248
CIDs91758271	CIDs00003640	171
CIDs91758271	CIDs00003676	526
CIDs91758271	CIDs00003743	151
CIDs91758271	CIDs00003763	521
CIDs91758271	CIDs00003821	697
CIDs91758271	CIDs00003826	155
CIDs91758271	CIDs00003958	273
CIDs91758271	CIDs00039764	521
CIDs91758271	CIDs00004058	466
CIDs91758271	CIDs00004062	182
CIDs91758271	CIDs00041693	359
CIDs91758271	CIDs00004171	152
CIDs91758271	CIDs00004192	847
CIDs91758271	CIDs00004197	204
CIDs91758271	CIDs00042082	354
CIDs91758271	CIDs00042113	217
CIDs91758271	CIDs00439219	210
CIDs91758271	CIDs00439260	271
CIDs91758271	CIDs00441290	386
CIDs91758271	CIDs44144774	299
CIDs91758271	CIDs44253188	344
CIDs91758271	CIDs00445357	174
CIDs91758271	CIDs00004456	204
CIDs91758271	CIDs46174142	157
CIDs91758271	CIDs46186827	212
CIDs91758271	CIDs00047319	350
CIDs91758271	CIDs00004737	317
CIDs91758271	CIDs00004770	230
CIDs91758271	CIDs00004927	156
CIDs91758271	CIDs00493431	208
CIDs91758271	CIDs00004943	741
CIDs91758271	CIDs00498509	157
CIDs91758271	CIDs05001396	157
CIDs91758271	CIDs00050192	216
CIDs91758271	CIDs00051263	452
CIDs91758271	CIDs00005206	500
CIDs91758271	CIDs05281042	151
CIDs91758271	CIDs05284569	150
CIDs91758271	CIDs05284596	273
CIDs91758271	CIDs05288826	386
CIDs91758271	CIDs05311068	850
CIDs91758271	CIDs54076661	284
CIDs91758271	CIDs00005413	173
CIDs91758271	CIDs00055483	150
CIDs91758271	CIDs00005707	461
CIDs91758271	CIDs57504764	151
CIDs91758271	CIDs00005815	258
CIDs91758271	CIDs00000588	208
CIDs91758271	CIDs00059768	211
CIDs91758271	CIDs00006041	230
CIDs91758271	CIDs00006077	561
CIDs91758271	CIDs00060814	573
CIDs91758271	CIDs00061174	178
CIDs91758271	CIDs00000612	279
CIDs91758271	CIDs00006211	171
CIDs91758271	CIDs00062886	357
CIDs91758271	CIDs06449857	157
CIDs91758271	CIDs00066376	175
CIDs91758271	CIDs00000681	151
CIDs91758271	CIDs00068601	664
CIDs91758271	CIDs71308238	262
CIDs91758271	CIDs71749188	271
CIDs91758271	CIDs71816173	200
CIDs91758271	CIDs00007230	152
CIDs91758271	CIDs00000772	218
CIDs91758271	CIDs00080346	419
CIDs91758271	CIDs00000838	150
CIDs91758271	CIDs86744827	174
CIDs91758271	CIDs00009034	390
CIDs91758271	CIDs00091499	172
CIDs91758271	CIDs00009294	274
CIDs91758271	CIDs00009331	157
CIDs91758271	CIDs00000948	518
CIDs91758271	CIDs00000970	172
CIDs91758271	CIDs00000977	553
CIDs91758271	CIDs09895264	560
CIDs91757968	CIDs10129962	217
CIDs91757968	CIDs11296859	156
CIDs91757968	CIDs11987656	152
CIDs91757968	CIDs00126806	237
CIDs91757968	CIDs00012893	457
CIDs91757968	CIDs00139513	180
CIDs91757968	CIDs15233950	208
CIDs91757968	CIDs00156517	299
CIDs91757968	CIDs16758227	299
CIDs91757968	CIDs18222029	168
CIDs91757968	CIDs00186086	196
CIDs91757968	CIDs00018636	161
CIDs91757968	CIDs00025310	235
CIDs91757968	CIDs02723631	157
CIDs91757968	CIDs02724898	168
CIDs91757968	CIDs30980947	234
CIDs91757968	CIDs00003304	327
CIDs91757968	CIDs00332427	184
CIDs91757968	CIDs00445314	290
CIDs91757968	CIDs00445663	216
CIDs91757968	CIDs45279979	284
CIDs91757968	CIDs45480165	156
CIDs91757968	CIDs05316673	156
CIDs91757968	CIDs05320686	214
CIDs91757968	CIDs54211121	464
CIDs91757968	CIDs00558519	169
CIDs91757968	CIDs57046886	529
CIDs91757968	CIDs00062286	210
CIDs91757968	CIDs00722911	387
CIDs91757968	CIDs00077793	178
CIDs91757968	CIDs91188854	505
CIDs91757968	CIDs91758403	155
CIDs91757968	CIDs00092627	320
CIDs91757968	CIDs00009270	215
CIDs91757968	CIDs00093117	298
CIDs91757967	CIDs10404577	218
CIDs91757967	CIDs00105048	152
CIDs91757967	CIDs00107878	228
CIDs91757967	CIDs11288092	157
CIDs91757967	CIDs00011393	258
CIDs91757967	CIDs11635914	165
CIDs91757967	CIDs00011953	232
CIDs91757967	CIDs11966311	150
CIDs91757967	CIDs00012225	220
CIDs91757967	CIDs13843540	182
CIDs91757967	CIDs00139075	388
CIDs91757967	CIDs00014210	151
CIDs91757967	CIDs00155558	258
CIDs91757967	CIDs15608644	274
CIDs91757967	CIDs00017335	198
CIDs91757967	CIDs00019241	153
CIDs91757967	CIDs00021313	151
CIDs91757967	CIDs00022842	258
CIDs91757967	CIDs00024584	189
CIDs91757967	CIDs25138295	150
CIDs91757967	CIDs00027365	151
CIDs91757967	CIDs03034569	175
CIDs91757967	CIDs03081759	152
CIDs91757967	CIDs30980947	174
CIDs91757967	CIDs00034224	296
CIDs91757967	CIDs00440053	155
