dataset_id	concept_id_1	concept_id_2	concept_count	concept_prevalence	chi_square_t	chi_square_p	expected_count	ln_ratio	rel_freq_1	rel_freq_2
1	8516	939510	848	4.736290e-04	7.208147e+02	8.902455e-159	3.569449e+02	8.652992e-01	7.940149e-03	1.417112e-01
1	8516	956877	896	5.004382e-04	7.186458e+02	2.637148e-158	3.861137e+02	8.418085e-01	8.389592e-03	1.384211e-01
1	8516	903963	913	5.099331e-04	6.385142e+01	1.341657e-15	7.075669e+02	2.549037e-01	8.548769e-03	7.696847e-02
1	8516	997899	1021	5.702538e-04	1.156070e+01	6.736059e-04	9.213521e+02	1.026956e-01	9.560015e-03	6.610126e-02
1	8516	915626	1187	6.629689e-04	1.041573e+03	1.651786e-228	4.934238e+02	8.778159e-01	1.111434e-02	1.434961e-01
1	8516	987250	1289	7.199384e-04	3.646636e+02	2.717124e-81	7.752695e+02	5.084113e-01	1.206940e-02	9.917673e-02
1	8516	961050	1355	7.568010e-04	1.162239e+02	4.245489e-27	1.022339e+03	2.817080e-01	1.268738e-02	7.905946e-02
1	8516	906891	1356	7.573595e-04	3.089127e+02	3.767835e-69	8.586004e+02	4.569908e-01	1.269675e-02	9.420592e-02
1	8516	953102	1475	8.238240e-04	2.672340e+02	4.547394e-60	9.808230e+02	4.080212e-01	1.381099e-02	8.970383e-02
1	8516	957136	2802	1.564986e-03	1.002531e+03	5.059481e-220	1.587701e+03	5.680464e-01	2.623620e-02	1.052711e-01
1	8516	993653	2895	1.616929e-03	1.233183e+03	3.747933e-270	1.559904e+03	6.183608e-01	2.710700e-02	1.107032e-01
1	8516	967434	2909	1.624748e-03	1.699326e+03	0.000000e+00	1.415193e+03	7.205431e-01	2.723808e-02	1.226133e-01
1	8516	968985	2938	1.640946e-03	7.866079e+02	4.403169e-173	1.795342e+03	4.925334e-01	2.750962e-02	9.761446e-02
1	8516	968477	4570	2.552458e-03	1.832830e+03	0.000000e+00	2.513348e+03	5.978975e-01	4.279066e-02	1.084609e-01
1	8516	938330	9392	5.245664e-03	3.301224e+03	0.000000e+00	5.401893e+03	5.531087e-01	8.794090e-02	1.037102e-01
1	8516	8532	63392	3.540600e-02	9.601746e+01	1.138746e-22	6.185896e+04	2.448076e-02	5.935636e-01	6.112818e-02
1	8522	938330	31	1.731427e-05	1.279186e+01	3.481317e-04	1.674198e+01	6.160679e-01	9.365559e-02	3.423145e-04
1	8522	8532	166	9.271511e-05	8.200354e+00	4.188222e-03	1.917182e+02	-1.440389e-01	5.015106e-01	1.600719e-04
1	8527	904895	8	4.468198e-06	6.517132e+00	1.068402e-02	1.729303e+01	-7.708618e-01	1.912023e-05	1.081081e-01
1	8527	922809	8	4.468198e-06	1.516177e+00	2.181990e-01	1.168448e+01	-3.788197e-01	1.912023e-05	1.600000e-01
1	8527	974166	9	5.026723e-06	1.203667e+00	2.725899e-01	6.543307e+00	3.187819e-01	2.151026e-05	3.214286e-01
1	8527	992409	9	5.026723e-06	1.497017e+00	2.211309e-01	6.309618e+00	3.551495e-01	2.151026e-05	3.333333e-01
1	8527	994341	9	5.026723e-06	4.319427e+00	3.767962e-02	1.635827e+01	-5.975089e-01	2.151026e-05	1.285714e-01
1	8527	901659	10	5.585247e-06	1.784174e+01	2.400591e-05	3.037964e+01	-1.111188e+00	2.390029e-05	7.692308e-02
1	8527	906971	10	5.585247e-06	1.149046e-01	7.346280e-01	1.098341e+01	-9.380072e-02	2.390029e-05	2.127660e-01
1	8527	964406	10	5.585247e-06	4.487109e+00	3.415138e-02	5.608549e+00	5.782931e-01	2.390029e-05	4.166667e-01
1	8527	967566	10	5.585247e-06	5.992417e+00	1.436750e-02	5.141170e+00	6.653044e-01	2.390029e-05	4.545455e-01
1	8527	904332	11	6.143772e-06	5.483250e-03	9.409714e-01	1.121710e+01	-1.954395e-02	2.629032e-05	2.291667e-01
1	8527	904453	11	6.143772e-06	1.228249e+00	2.677479e-01	1.472244e+01	-2.914777e-01	2.629032e-05	1.746032e-01
1	8527	961047	11	6.143772e-06	3.270715e-05	9.954369e-01	1.098341e+01	1.509460e-03	2.629032e-05	2.340426e-01
1	8527	902519	12	6.702297e-06	6.697021e+00	9.657414e-03	6.309618e+00	6.428316e-01	2.868035e-05	4.444444e-01
1	8527	919097	12	6.702297e-06	1.430324e+00	2.317116e-01	8.880203e+00	3.010823e-01	2.868035e-05	3.157895e-01
1	8527	928002	12	6.702297e-06	4.945021e-01	4.819259e-01	1.004865e+01	1.774683e-01	2.868035e-05	2.790698e-01
1	8527	968002	12	6.702297e-06	1.430324e+00	2.317116e-01	8.880203e+00	3.010823e-01	2.868035e-05	3.157895e-01
1	8527	974886	12	6.702297e-06	2.325093e-01	6.296694e-01	1.355399e+01	-1.217746e-01	2.868035e-05	2.068966e-01
1	8527	922724	13	7.260822e-06	1.029703e+01	1.332443e-03	6.075928e+00	7.606146e-01	3.107037e-05	5.000000e-01
1	8527	929955	13	7.260822e-06	1.411658e+01	1.718228e-04	5.374859e+00	8.832169e-01	3.107037e-05	5.652174e-01
1	8527	929956	13	7.260822e-06	1.029703e+01	1.332443e-03	6.075928e+00	7.606146e-01	3.107037e-05	5.000000e-01
1	8527	935551	13	7.260822e-06	4.003032e+00	4.541849e-02	2.103206e+01	-4.810985e-01	3.107037e-05	1.444444e-01
1	8527	985406	13	7.260822e-06	7.656800e-01	3.815568e-01	1.051603e+01	2.120487e-01	3.107037e-05	2.888889e-01
1	8527	904131	14	7.819346e-06	4.325504e+00	3.754529e-02	8.646513e+00	4.819012e-01	3.346040e-05	3.783784e-01
1	8527	905344	14	7.819346e-06	1.674875e+00	1.956069e-01	1.892885e+01	-3.016300e-01	3.346040e-05	1.728395e-01
1	8527	915663	14	7.819346e-06	6.020740e+00	1.413872e-02	7.945444e+00	5.664586e-01	3.346040e-05	4.117647e-01
1	8527	915677	14	7.819346e-06	2.428517e+01	8.307627e-07	4.673791e+00	1.097087e+00	3.346040e-05	7.000000e-01
1	8527	948782	14	7.819346e-06	2.328713e+00	1.270069e-01	9.814961e+00	3.551495e-01	3.346040e-05	3.333333e-01
1	8527	966706	14	7.819346e-06	2.289006e-01	6.323402e-01	1.565720e+01	-1.118735e-01	3.346040e-05	2.089552e-01
1	8527	974884	14	7.819346e-06	2.328713e+00	1.270069e-01	9.814961e+00	3.551495e-01	3.346040e-05	3.333333e-01
1	8527	906939	15	8.377871e-06	1.302045e+01	3.081081e-04	6.776997e+00	7.945162e-01	3.585043e-05	5.172414e-01
1	8527	908503	15	8.377871e-06	9.873539e+00	1.676726e-03	7.478065e+00	6.960761e-01	3.585043e-05	4.687500e-01
1	8527	915676	15	8.377871e-06	2.013180e-01	6.536591e-01	1.355399e+01	1.013690e-01	3.585043e-05	2.586207e-01
1	8527	939259	15	8.377871e-06	1.916836e+00	1.662059e-01	1.098341e+01	3.116644e-01	3.585043e-05	3.191489e-01
1	8527	940101	15	8.377871e-06	9.022717e+00	2.666447e-03	2.921119e+01	-6.665017e-01	3.585043e-05	1.200000e-01
1	8527	948557	15	8.377871e-06	2.708576e+01	1.946267e-07	4.907480e+00	1.117290e+00	3.585043e-05	7.142857e-01
1	8527	948635	15	8.377871e-06	2.013180e-01	6.536591e-01	1.355399e+01	1.013690e-01	3.585043e-05	2.586207e-01
1	8527	993600	15	8.377871e-06	1.426283e+01	1.589730e-04	6.543307e+00	8.296075e-01	3.585043e-05	5.357143e-01
1	8527	951537	16	8.936396e-06	3.346373e+00	6.735325e-02	1.074972e+01	3.977091e-01	3.824046e-05	3.478261e-01
1	8527	984236	16	8.936396e-06	1.637984e+01	5.183354e-05	6.776997e+00	8.590547e-01	3.824046e-05	5.517241e-01
1	8527	975503	17	9.494920e-06	5.482938e+00	1.920295e-02	2.780906e+01	-4.921484e-01	4.063049e-05	1.428571e-01
